Sample_1	Site_1	Mass_1	C1	H1	O1	N1	S1	P1	MolForm_1	El_comp_1	Class_1
BJ_E2	BJ	660.1139315	49	15	1	3	0	0	C49H15ON3	CHON	ConHC
BJ_E2	BJ	510.9940838	26	8	12	0	0	0	C26H8O12	CHO	ConHC
BJ_E2	BJ	494.9991474	26	8	11	0	0	0	C26H8O11	CHO	ConHC
BJ_E2	BJ	248.0019558	13	4	1	3	0	1	C13H4ON3P	CHONP	ConHC
BJ_E2	BJ	451.0165521	29	9	4	0	0	1	C29H9O4P	CHOP	ConHC
BJ_E2	BJ	435.003807	29	9	1	0	1	1	C29H9OSP	CHOSP	ConHC
BJ_E2	BJ	485.0390569	32	10	2	2	1	0	C32H10O2N2S	CHONS	ConHC
BJ_E2	BJ	583.0460096	37	12	8	0	0	0	C37H12O8	CHO	ConHC
BJ_E2	BJ	539.0633441	40	13	1	0	0	1	C40H13OP	CHOP	ConHC
BJ_E2	BJ	602.0779682	39	13	5	3	0	0	C39H13O5N3	CHON	ConHC
BJ_E2	BJ	514.9649511	24	8	8	2	2	0	C24H8O8N2S2	CHONS	ConHC
BJ_E2	BJ	576.9803195	29	10	8	2	2	0	C29H10O8N2S2	CHONS	ConHC
BJ_E2	BJ	530.00709	29	10	8	1	0	1	C29H10O8NP	CHONP	ConHC
BJ_E2	BJ	558.9708206	26	9	13	0	0	1	C26H9O13P	CHOP	ConHC
BJ_E2	BJ	599.1074879	46	16	2	0	0	0	C46H16O2	CHO	ConHC
BJ_E2	BJ	560.10794	43	15	1	1	0	0	C43H15ON	CHON	ConHC
BJ_E2	BJ	559.0394473	34	12	5	2	1	0	C34H12O5N2S	CHONS	ConHC
BJ_E2	BJ	543.0621526	34	12	6	2	0	0	C34H12O6N2	CHON	ConHC
BJ_E2	BJ	529.0691851	39	14	1	0	1	0	C39H14OS	CHOS	ConHC
BJ_E2	BJ	510.9973117	25	9	9	2	0	1	C25H9O9N2P	CHONP	ConHC
BJ_E2	BJ	465.032101	30	11	4	0	0	1	C30H11O4P	CHOP	ConHC
BJ_E2	BJ	465.014379	30	11	2	0	1	1	C30H11O2SP	CHOSP	ConHC
BJ_E2	BJ	449.0194127	30	11	1	0	1	1	C30H11OSP	CHOSP	ConHC
BJ_E2	BJ	577.0650031	38	14	3	2	1	0	C38H14O3N2S	CHONS	ConHC
BJ_E2	BJ	561.0702173	38	14	2	2	1	0	C38H14O2N2S	CHONS	ConHC
BJ_E2	BJ	501.0919482	38	14	2	0	0	0	C38H14O2	CHO	ConHC
BJ_E2	BJ	547.1128846	43	16	1	0	0	0	C43H16O	CHO	ConHC
BJ_E2	BJ	640.9697784	29	11	12	2	1	1	C29H11O12N2SP	CHONSP	ConHC
BJ_E2	BJ	624.9568441	26	10	17	0	1	0	C26H10O17S	CHOS	ConHC
BJ_E2	BJ	574.1235863	44	17	1	1	0	0	C44H17ON	CHON	ConHC
BJ_E2	BJ	521.093415	36	14	3	2	0	0	C36H14O3N2	CHON	ConHC
BJ_E2	BJ	527.1075168	40	16	2	0	0	0	C40H16O2	CHO	ConHC
BJ_E2	BJ	573.0548248	35	14	5	2	1	0	C35H14O5N2S	CHONS	ConHC
BJ_E2	BJ	557.042335	35	14	2	2	2	0	C35H14O2N2S2	CHONS	ConHC
BJ_E2	BJ	607.0086661	30	12	11	2	1	0	C30H12O11N2S	CHONS	ConHC
BJ_E2	BJ	590.9960358	30	12	8	2	2	0	C30H12O8N2S2	CHONS	ConHC
BJ_E2	BJ	528.0101068	30	12	5	1	1	1	C30H12O5NSP	CHONSP	ConHC
BJ_E2	BJ	544.9931896	25	10	11	2	1	0	C25H10O11N2S	CHONS	ConHC
BJ_E2	BJ	528.9805345	25	10	8	2	2	0	C25H10O8N2S2	CHONS	ConHC
BJ_E2	BJ	482.0072313	25	10	8	1	0	1	C25H10O8NP	CHONP	ConHC
BJ_E2	BJ	402.0324156	25	10	3	1	0	1	C25H10O3NP	CHONP	ConHC
BJ_E2	BJ	572.9862192	27	11	13	0	0	1	C27H11O13P	CHOP	ConHC
BJ_E2	BJ	510.9707639	22	9	13	0	0	1	C22H9O13P	CHOP	ConHC
BJ_E2	BJ	543.1141014	39	16	2	2	0	0	C39H16O2N2	CHON	ConHC
BJ_E2	BJ	561.0549723	34	14	5	2	1	0	C34H14O5N2S	CHONS	ConHC
BJ_E2	BJ	529.0830061	34	14	5	2	0	0	C34H14O5N2	CHON	ConHC
BJ_E2	BJ	659.1109623	48	20	2	0	1	0	C48H20O2S	CHOS	ConHC
BJ_E2	BJ	495.0427663	31	13	5	0	0	1	C31H13O5P	CHOP	ConHC
BJ_E2	BJ	494.0491632	31	13	4	1	1	0	C31H13O4NS	CHONS	ConHC
